"","Pair","Enh","Gene","Gene.Exp","nCells","logfc.vst","HitPermissive","Sensitivity_0.15","Sensitivity_0.25","WellPowered015","WellPowered025"
"1","Enh1_CTTNBP2NL","Enh1","CTTNBP2NL",0.686674327443304,206,-0.0174921300898683,FALSE,0.85,1,TRUE,TRUE
"2","Enh1_WNT2B","Enh1","WNT2B",0.0209711387001394,206,0.0251649770209714,FALSE,0,0,FALSE,FALSE
"3","Enh1_ST7L","Enh1","ST7L",0.0839681959846058,206,0.0413095894369342,FALSE,0,0.05,FALSE,FALSE
"4","Enh1_CAPZA1","Enh1","CAPZA1",0.982238742086103,206,-0.00527375348119197,FALSE,1,1,TRUE,TRUE
"5","Enh1_MOV10","Enh1","MOV10",0.114444191553776,206,0.0265139984134262,FALSE,0,0.3,FALSE,FALSE
"6","Enh1_RHOC","Enh1","RHOC",1.33604511660038,206,-0.0276973320063534,FALSE,1,1,TRUE,TRUE
"7","Enh1_LINC01357","Enh1","LINC01357",0.0199225644260944,206,-0.00959044155029722,FALSE,0,0,FALSE,FALSE
"8","Enh2_CTTNBP2NL","Enh2","CTTNBP2NL",0.686674327443304,590,-0.00751052486852455,FALSE,1,1,TRUE,TRUE
"9","Enh2_WNT2B","Enh2","WNT2B",0.0209711387001394,590,-0.0175754933166859,FALSE,0.05,0.25,FALSE,FALSE
"10","Enh2_ST7L","Enh2","ST7L",0.0839681959846058,590,-0.00814797025456254,FALSE,0.1,1,FALSE,TRUE
"11","Enh2_CAPZA1","Enh2","CAPZA1",0.982238742086103,590,-0.0403327953093027,FALSE,1,1,TRUE,TRUE
"12","Enh2_MOV10","Enh2","MOV10",0.114444191553776,590,-0.0304070593276091,FALSE,0.45,0.95,FALSE,TRUE
"13","Enh2_RHOC","Enh2","RHOC",1.33604511660038,590,-0.0519708453309735,TRUE,1,1,TRUE,TRUE
"14","Enh2_LINC01357","Enh2","LINC01357",0.0199225644260944,590,0.00341793419976121,FALSE,0,0.05,FALSE,FALSE
"15","Enh5_AP4B1","Enh5","AP4B1",0.0351623331117347,407,0.0126768922446533,FALSE,0,0,FALSE,FALSE
"16","Enh5_DCLRE1B","Enh5","DCLRE1B",0.0230359835384558,407,-0.00854003466794921,FALSE,0,0,FALSE,FALSE
"17","Enh5_HIPK1","Enh5","HIPK1",0.195930189105451,407,-0.0450027746666454,FALSE,0.45,1,FALSE,TRUE
"18","Enh5_OLFML3","Enh5","OLFML3",0.0301028880320012,407,-0.0185652140783174,FALSE,0,0,FALSE,FALSE
"19","Enh5_TRIM33","Enh5","TRIM33",0.250501044031554,407,-0.0232293587146671,FALSE,0.8,1,TRUE,TRUE
"20","Enh5_BCAS2","Enh5","BCAS2",0.364225987005105,407,0.0153956658173697,FALSE,1,1,TRUE,TRUE
"21","Enh5_DENND2C","Enh5","DENND2C",0.0645371595937467,407,0.0396352072243557,FALSE,0.05,0.25,FALSE,FALSE
"22","Enh5_NRAS","Enh5","NRAS",0.267567189156975,407,0.0250486973921867,FALSE,0.7,1,FALSE,TRUE
"23","Enh5_CSDE1","Enh5","CSDE1",1.49099203463502,407,0.0160612298358753,FALSE,1,1,TRUE,TRUE
"24","Enh5_SIKE1","Enh5","SIKE1",0.238598295926254,407,0.0238058051765923,FALSE,0.65,1,FALSE,TRUE
"25","Enh6_VANGL1","Enh6","VANGL1",0.0886864718720983,285,-0.0144219446474274,FALSE,0.2,0.5,FALSE,FALSE
"26","Enh6_ATP1A1","Enh6","ATP1A1",0.804827798530945,285,-0.0313511617551572,FALSE,1,1,TRUE,TRUE
"27","Enh6_ATP1A1-AS1","Enh6","ATP1A1-AS1",0.0171243613715993,285,0.0149181262700676,FALSE,0,0,FALSE,FALSE
"28","Enh6_CD58","Enh6","CD58",0.161093608597153,285,0.0129480434148059,FALSE,0.05,0.9,FALSE,TRUE
"29","Enh7_ATP1A1","Enh7","ATP1A1",0.804827798530945,328,-0.0633173587077431,FALSE,1,1,TRUE,TRUE
"30","Enh7_ATP1A1-AS1","Enh7","ATP1A1-AS1",0.0171243613715993,328,0.0128472013578644,FALSE,0,0,FALSE,FALSE
"31","Enh7_CD58","Enh7","CD58",0.161093608597153,328,0.0172932325776534,FALSE,0.1,0.85,FALSE,TRUE
"32","Enh8_ATP1A1","Enh8","ATP1A1",0.804827798530945,212,-0.0492333300684435,FALSE,0.9,1,TRUE,TRUE
"33","Enh8_ATP1A1-AS1","Enh8","ATP1A1-AS1",0.0171243613715993,212,0.0096472462137568,FALSE,0,0,FALSE,FALSE
"34","Enh8_CD58","Enh8","CD58",0.161093608597153,212,0.00807674717373263,FALSE,0.1,0.5,FALSE,FALSE
"35","Enh9_ATP1A1-AS1","Enh9","ATP1A1-AS1",0.0171243613715993,615,0.00266847872635877,FALSE,0,0,FALSE,FALSE
"36","Enh9_CD58","Enh9","CD58",0.161093608597153,615,-0.012953162961552,FALSE,0.35,1,FALSE,TRUE
