"","TTseq_Counts","RNAseq_Counts","RNAseq_CPM","TTseq_CPM","RNAseq_RPKM","TTseq_RPKM"
"MIR1302-2HG",1,0,0,0.0150922795549583,0,0.0147818604847779
"FAM138A",0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0
"AL627309.1",1,2,0.0301845591099165,0.0150922795549583,0.00810106256304791,0.00405053128152395
"AL627309.3",0,0,0,0,0,0
"AL627309.2",0,0,0,0,0,0
"AL627309.5",0,13,0.196199634214457,0,0.0259557658704137,0
"AL627309.4",0,0,0,0,0,0
"AP006222.2",0,1,0.0150922795549583,0,0.020505814612715,0
"AL732372.1",0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0
"AC114498.1",0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0
"AL669831.2",0,0,0,0,0,0
"LINC01409",225,120,1.81107354659499,3.39576289986561,0.215270836395458,0.403632818241484
"FAM87B",0,5,0.0754613977747913,0,0.038757780058958,0
"LINC01128",420,1072,16.1789236829153,6.33875741308247,0.852689136867042,0.334075967802386
"LINC00115",111,47,0.709337139083038,1.67524303060037,0.538600713047106,1.27201444996231
"FAM41C",1,1,0.0150922795549583,0.0150922795549583,0.00765716872397679,0.00765716872397679
"AL645608.6",0,2,0.0301845591099165,0,0.085995894900047,0
"AL645608.2",19,17,0.25656875243429,0.286753311544207,0.0843144109215545,0.0942337533829138
"AL645608.4",5,3,0.0452768386648748,0.0754613977747913,0.102205053419582,0.170341755699303
"LINC02593",18,119,1.79598126704003,0.271661031989249,0.432558108631992,0.0654289576082005
"SAMD11",20,246,3.71270077051973,0.301845591099165,0.889695847236935,0.0723329957103199
"NOC2L",482,2685,40.5227706050629,7.27447874548988,7.3145795315998,1.3130828060451
"KLHL17",112,399,6.02181954242834,1.69033531015532,1.77008217002597,0.496865170533605
"PLEKHN1",84,358,5.40303608067506,1.26775148261649,1.56564360494786,0.367357717362067
"PERM1",16,11,0.166015075104541,0.241476472879332,0.0484857111870738,0.0705246708175619
"AL645608.7",123,45,0.679152579973122,1.85635038525987,0.325576500466501,0.889909101275103
"HES4",130,614,9.26665964674437,1.96199634214457,8.28860433519174,1.75491622732073
"ISG15",54,399,6.02181954242834,0.814983095967746,6.94558194051712,0.940003570897054
"AL645608.1",5,1,0.0150922795549583,0.0754613977747913,0.0320430563799538,0.160215281899769
"AGRN",2053,17525,264.492199200643,30.9844499263293,24.5787751324824,2.87932812250992
"AL645608.5",262,2279,34.3953051057499,3.95417724339906,85.5604604620643,9.83626179950016
"AL645608.8",1,4,0.060369118219833,0.0150922795549583,0.0728216142579409,0.0182054035644852
"RNF223",0,0,0,0,0,0
"C1orf159",137,325,4.90499085536143,2.06764229902928,0.775860622486782,0.327055093171351
"AL390719.3",0,0,0,0,0,0
"LINC01342",0,0,0,0,0,0
"AL390719.2",0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0
"TNFRSF18",1,0,0,0.0150922795549583,0,0.0118743348190073
"TNFRSF4",12,3,0.0452768386648748,0.181107354659499,0.0262931699563733,0.105172679825493
"SDF4",641,5141,77.5894091920404,9.67415119472824,16.3518249087546,2.03880952470564
"B3GALT6",314,1334,20.1331009263143,4.73897578025689,7.17757608781259,1.68947443146413
"C1QTNF12",28,16,0.241476472879332,0.422583827538831,0.134602270278334,0.235553972987085
"AL162741.1",37,9,0.135830515994624,0.558414343533455,0.0871826161711324,0.358417422036878
"UBE2J2",826,1692,25.5361370069894,12.4662229123955,5.41938391489588,2.64563304592435
"LINC01786",11,17,0.25656875243429,0.166015075104541,0.500134020339747,0.323616130808072
"SCNN1D",49,137,2.06764229902928,0.739521698192955,0.513699950069387,0.183732098929927
"ACAP3",459,1850,27.9207171766728,6.92735631572584,3.20669773477349,0.795607708249206
"PUSL1",170,486,7.33484786370971,2.5656875243429,2.98285801696206,1.04338654914311
"INTS11",523,1881,28.3885778428765,7.89326220724317,3.4535982777222,0.960250876793573
"AL139287.1",50,58,0.875352214187579,0.754613977747913,2.26775185022689,1.9549584915749
"CPTP",299,1216,18.3522119388292,4.51259158693252,7.18286181558874,1.76618066024756
"TAS1R3",31,10,0.150922795549583,0.467860666203706,0.0434310203020381,0.134636162936318
"DVL1",485,3182,48.0236335438772,7.31975558415475,12.3708484141878,1.88556300467665
"MXRA8",860,8402,126.805332820759,12.9793604172641,35.0097550581886,3.58347885622974
"AURKAIP1",219,1371,20.6915152698478,3.30520922253586,12.3975525882851,1.98035303926654
"CCNL2",974,3641,54.950989859603,14.6998802865293,8.01385297646245,2.14377720381061
"MRPL20-AS1",177,267,4.02963864117385,2.67133348122761,1.59463341558126,1.05711653392466
"MRPL20",481,753,11.3644865048836,7.25938646593492,4.10715088720042,2.6235585348518
"AL391244.2",159,49,0.739521698192955,2.39967244923836,0.485569073009163,1.57562209405014
"ANKRD65",5,1,0.0150922795549583,0.0754613977747913,0.00570812388614155,0.0285406194307077
"AL391244.1",0,0,0,0,0,0
"TMEM88B",0,0,0,0,0,0
"LINC01770",1,7,0.105645956884708,0.0150922795549583,0.124143310087788,0.0177347585839697
"VWA1",34,259,3.90890040473419,0.513137504868581,0.771747365199247,0.101310464929631
"ATAD3C",2,37,0.558414343533455,0.0301845591099165,0.140269867755201,0.00758215501379465
"ATAD3B",501,905,13.6585129972372,7.56123205703409,1.7770638820241,0.983766856236545
"ATAD3A",258,1034,15.6054170598268,3.89380812517923,4.66669170449367,1.16441630537656
"TMEM240",43,105,1.58468935327062,0.648968020863205,0.788795098691198,0.323030373749729
"SSU72",797,2743,41.3981228192505,12.0285468053017,5.98325232248164,1.73848053263502
"AL645728.1",38,42,0.633875741308247,0.573506623088414,0.269849187444975,0.244149264831168
"FNDC10",36,344,5.19174416690564,0.543322063978497,2.44432399571829,0.255801348389123
"AL691432.4",12,9,0.135830515994624,0.181107354659499,0.0742243256801226,0.0989657675734967
"AL691432.2",137,160,2.41476472879332,2.06764229902928,1.18486983748446,1.01454479834607
"MIB2",279,1278,19.2879332712366,4.21074599583335,2.20006082710581,0.480294969297748
"MMP23B",0,1,0.0150922795549583,0,0.00684457122673844,0
"CDK11B",297,753,11.3644865048836,4.4824070278226,3.25816700254689,1.28509375797666
"FO704657.1",13,5,0.0754613977747913,0.196199634214457,0.188653494436978,0.490499085536143
"SLC35E2B",688,5057,76.3216577094239,10.3834883338113,9.01934031073315,1.22707259912684
"CDK11A",236,333,5.0257290918011,3.56177797497015,0.988343970855673,0.700447979345162
"SLC35E2A",390,1561,23.5590483852898,5.88598902643372,3.05445979324385,0.763125765128189
"NADK",562,2047,30.8938962489995,8.48186110988654,5.5464804755834,1.52277578274444
"GNB1",2731,19433,293.288268591504,41.217015464591,45.7048883577223,6.42309731410176
"AL109917.1",38,17,0.25656875243429,0.573506623088414,0.283188468470519,0.633009517757631
"CALML6",7,23,0.34712242976404,0.105645956884708,0.170158053805902,0.0517872337670136
"TMEM52",4,6,0.0905536773297495,0.060369118219833,0.0565960483310935,0.0377306988873956
"CFAP74",0,0,0,0,0,0
"AL391845.2",0,0,0,0,0,0
"GABRD",0,0,0,0,0,0
"AL391845.1",1,0,0,0.0150922795549583,0,0.0280525642285469
"PRKCZ",27,111,1.67524303060037,0.407491547983873,0.217705397089066,0.0529553668595026
"AL590822.2",0,0,0,0,0,0
"PRKCZ-AS1",55,128,1.93181178303466,0.830075375522704,1.11407830624836,0.478705522216092
"FAAP20",414,1547,23.3477564715204,6.24820373575272,2.13885640083551,0.572389495763349
"AL590822.1",2,3,0.0452768386648748,0.0301845591099165,0.138886008174462,0.0925906721163083
"SKI",1142,7740,116.814243755377,17.2353832517623,17.8342356878438,2.6313562216431
"AL590822.3",61,34,0.513137504868581,0.920629052852454,0.0885636011164275,0.158893519650061
"MORN1",258,320,4.82952945758664,3.89380812517923,0.425997129539264,0.343460185691032
"AL589739.1",0,0,0,0,0,0
"AL513477.2",1,12,0.181107354659499,0.0150922795549583,0.318850976513203,0.0265709147094336
"RER1",753,4027,60.7766097678169,11.3644865048836,10.683179779894,1.99762462733056
"PEX10",429,940,14.1867427816608,6.47458792907709,3.74419181358162,1.70878541279417
"PLCH2",288,964,14.5489574909798,4.34657651182798,1.34600402358958,0.402125683396057
"AL139246.1",1,3,0.0452768386648748,0.0150922795549583,0.0995095355271973,0.0331698451757324
"AL139246.4",0,0,0,0,0,0
"PANK4",595,991,14.9564490389636,8.97990633520016,2.94070960262753,1.76561272811643
"HES5",57,81,1.22247464395162,0.860259934632621,0.923319217486117,0.649743153045786
"AL139246.5",41,52,0.784798536857829,0.618783461753288,0.512605184100476,0.404169472079222
"TNFRSF14-AS1",0,0,0,0,0,0
"TNFRSF14",14,32,0.482952945758664,0.211291913769416,0.0776576532816633,0.0339752233107277
"AL139246.3",0,0,0,0,0,0
"PRXL2B",196,1235,18.6389652503734,2.95808679277182,5.5292095076753,0.877510172878024
"MMEL1",7,5,0.0754613977747913,0.105645956884708,0.0194990691924525,0.0272986968694335
"AL831784.1",0,0,0,0,0,0
"TTC34",225,112,1.69033531015532,3.39576289986561,0.191778455883291,0.385269219408397
"AC242022.2",0,0,0,0,0,0
"AC242022.1",0,0,0,0,0,0
"AL592464.2",0,0,0,0,0,0
"AL592464.3",0,0,0,0,0,0
"AL592464.1",0,0,0,0,0,0
"AL589702.1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"PRDM16-DT",18,16,0.241476472879332,0.271661031989249,0.0431207987284522,0.0485108985695087
"PRDM16",83,229,3.45613201808544,1.25265920306154,0.353858095432112,0.128254244195918
"AL008733.1",0,0,0,0,0,0
"AL590438.1",4,2,0.0301845591099165,0.060369118219833,0.00872134039581523,0.0174426807916305
"AL354743.2",1,11,0.166015075104541,0.0150922795549583,0.22804268558316,0.0207311532348328
"AL354743.1",1,1,0.0150922795549583,0.0150922795549583,0.00542107742634995,0.00542107742634995
"ARHGEF16",12,47,0.709337139083038,0.181107354659499,0.133233872855567,0.0340171590269532
"AL512413.1",0,0,0,0,0,0
"MEGF6",1298,13824,208.635672567743,19.5897788623358,23.1277765843856,2.17157508727811
"AL513320.1",8,7,0.105645956884708,0.120738236439666,0.169848805280881,0.194112920321006
"TPRG1L",488,4185,63.1611899375003,7.36503242281963,26.3062015566432,3.06748539059543
"WRAP73",202,477,7.19901734771509,3.04864047010157,0.943020349451806,0.399350336665125
"TP73",1,5,0.0754613977747913,0.0150922795549583,0.0111513813765023,0.00223027627530047
"AL136528.1",0,0,0,0,0,0
"AL136528.2",0,0,0,0,0,0
"CCDC27",0,0,0,0,0,0
"SMIM1",25,56,0.845167655077662,0.377306988873956,0.861536855328912,0.38461466755755
"LRRC47",543,2153,32.4936778818251,8.19510779834233,7.2064044980761,1.81750006616596
"AL365330.1",4,4,0.060369118219833,0.060369118219833,0.113689488172944,0.113689488172944
"CEP104",366,2038,30.7580657330049,5.52377431711472,3.90777102439397,0.701788123124726
"DFFB",96,266,4.0145463616189,1.44885883727599,1.03735048103847,0.374382128495089
"C1orf174",393,888,13.4019442448029,5.93126586509859,3.05422612689219,1.35170142777999
"LINC01134",27,43,0.648968020863205,0.407491547983873,0.158905000211363,0.099777558272251
"LINC01346",0,0,0,0,0,0
"LINC01345",0,0,0,0,0,0
"LINC02780",0,0,0,0,0,0
"AL805961.1",0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0
"AL355602.1",0,0,0,0,0,0
"Z98747.1",0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0
"AJAP1",182,121,1.82616582614995,2.7467948790024,0.145766748575187,0.219252464799042
"Z98886.1",0,0,0,0,0,0
"BX005132.1",0,0,0,0,0,0
"LINC02781",0,0,0,0,0,0
"LINC02782",0,0,0,0,0,0
"AL139823.1",0,0,0,0,0,0
"Z98259.3",0,0,0,0,0,0
"Z98259.2",0,0,0,0,0,0
"Z98259.1",0,0,0,0,0,0
"AL365255.1",0,0,0,0,0,0
"NPHP4",185,541,8.16492323923242,2.79207171766728,0.620105053484652,0.212050711450389
"KCNAB2",158,289,4.36166879138294,2.3845801696834,0.251697662379995,0.137606334449963
"CHD5",51,551,8.315846034782,0.769706257302871,0.823840502752328,0.0762538396376928
"RPL22",1055,3679,55.5244964826914,15.922354930481,11.9023572310164,3.41315218231103
"AL031847.1",27,12,0.181107354659499,0.407491547983873,0.479119985871691,1.0780199682113
"RNF207",397,729,11.0022717955646,5.99163498331843,1.66827472260266,0.908511748797335
"ICMT",548,5238,79.0533603088713,8.27056919611712,16.1004807146377,1.68443364483037
"LINC00337",3,5,0.0754613977747913,0.0452768386648748,0.0320022891326511,0.0192013734795907
"HES3",0,0,0,0,0,0
"GPR153",36,183,2.76188715855736,0.543322063978497,0.657905468927432,0.129424026674249
"ACOT7",420,2629,39.6776029499853,6.33875741308247,9.62114523520496,1.53704107979691
"AL031848.2",37,5,0.0754613977747913,0.558414343533455,0.090156986588759,0.667161700756817
"HES2",63,137,2.06764229902928,0.95081361196237,0.382401017020396,0.175848642863394
"ESPN",6,9,0.135830515994624,0.0905536773297495,0.0195383365930127,0.0130255577286751
"AL031848.1",0,0,0,0,0,0
"TNFRSF25",145,281,4.24093055494327,2.18838053546895,0.990177575284443,0.510945723901225
