"","Hit","TTseq_Pos","TTseq_Neg","TTseq_Total","RNAseq_Pos","RNAseq_Neg","RNAseq_Total","TPM_TTseq_Total","TPM_TTseq_Pos","TPM_TTseq_Neg","TPM_RNAseq_Total","TPM_RNAseq_Pos","TPM_RNAseq_Neg","FractionPos_TTseq","FractionPos_RNAseq","Ratio_TTversusRNA","PassThresh_TT","PassThresh_RNA","TT_Enrich"
"Enh55",FALSE,7,5,12,0,3,3,0.189231351553863,0.110384955073087,0.0788463964807763,0.0452768386648748,0,0.0452768386648748,0.583333333333333,0,3.99003322259136,TRUE,TRUE,TRUE
"Enh73",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh102",TRUE,1,1,2,1,0,1,0.0315385585923105,0.0157692792961553,0.0157692792961553,0.0150922795549583,0.0150922795549583,0,0.5,1,1.99009900990099,FALSE,FALSE,FALSE
"Enh103",FALSE,2,0,2,0,0,0,0.0315385585923105,0.0315385585923105,0,0,0,0,1,0,201,FALSE,FALSE,FALSE
"Enh104",FALSE,0,3,3,0,0,0,0.0473078378884657,0,0.0473078378884657,0,0,0,0,0,301,TRUE,FALSE,TRUE
"Enh105",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh106",FALSE,2,0,2,2,0,2,0.0315385585923105,0.0315385585923105,0,0.0301845591099165,0.0301845591099165,0,1,1,1,FALSE,FALSE,FALSE
"Enh107",FALSE,0,0,0,0,1,1,0,0,0,0.0150922795549583,0,0.0150922795549583,0,0,0.0099009900990099,FALSE,FALSE,FALSE
"Enh23",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh34",TRUE,0,1,1,0,2,2,0.0157692792961553,0,0.0157692792961553,0.0301845591099165,0,0.0301845591099165,0,0,0.502487562189055,FALSE,FALSE,FALSE
"Enh35",TRUE,0,0,0,0,1,1,0,0,0,0.0150922795549583,0,0.0150922795549583,0,0,0.0099009900990099,FALSE,FALSE,FALSE
"Enh43",FALSE,272,0,272,19,0,19,4.28924396855423,4.28924396855423,0,0.286753311544207,0.286753311544207,0,1,1,14.3087848500789,TRUE,TRUE,TRUE
"Enh44",FALSE,293,0,293,16,0,16,4.62039883377349,4.62039883377349,0,0.241476472879332,0.241476472879332,0,1,1,18.3016864459713,TRUE,TRUE,TRUE
"Enh52",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh53",TRUE,13,153,166,2,12,14,2.61770036316177,0.205000630850018,2.41269973231175,0.211291913769416,0.0301845591099165,0.181107354659499,0.0783132530120482,0.142857142857143,11.8493932905068,TRUE,TRUE,TRUE
"Enh54",TRUE,34,6,40,5,4,9,0.63077117184621,0.536155496069278,0.0946156757769315,0.135830515994624,0.0754613977747913,0.060369118219833,0.85,0.555555555555556,4.44062153163152,TRUE,TRUE,TRUE
"Enh56",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh62",FALSE,2,1,3,0,0,0,0.0473078378884657,0.0315385585923105,0.0157692792961553,0,0,0,0.666666666666667,0,301,TRUE,FALSE,TRUE
"Enh63",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh64",FALSE,225,1,226,32,1,33,3.56385712093109,3.54808784163493,0.0157692792961553,0.498045225313622,0.482952945758664,0.0150922795549583,0.995575221238938,0.96969696969697,6.8467131172372,TRUE,TRUE,TRUE
"Enh65",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh66",FALSE,0,0,0,0,1,1,0,0,0,0.0150922795549583,0,0.0150922795549583,0,0,0.0099009900990099,FALSE,FALSE,FALSE
"Enh67",TRUE,6,24,30,1,6,7,0.473078378884657,0.0946156757769315,0.378462703107726,0.105645956884708,0.0150922795549583,0.0905536773297495,0.2,0.142857142857143,4.28102710413695,TRUE,TRUE,TRUE
"Enh68",FALSE,18,13,31,3,1,4,0.488847658180813,0.283847027330794,0.205000630850018,0.060369118219833,0.0452768386648748,0.0150922795549583,0.580645161290323,0.75,7.73316708229427,TRUE,TRUE,TRUE
"Enh69",FALSE,6,8,14,1,1,2,0.220769910146173,0.0946156757769315,0.126154234369242,0.0301845591099165,0.0150922795549583,0.0150922795549583,0.428571428571429,0.5,6.97014925373134,TRUE,FALSE,TRUE
"Enh70",FALSE,16,5,21,8,0,8,0.33115486521926,0.252308468738484,0.0788463964807763,0.120738236439666,0.120738236439666,0,0.761904761904762,1,2.62297128589263,TRUE,TRUE,TRUE
"Enh71",FALSE,3,4,7,0,1,1,0.110384955073087,0.0473078378884657,0.063077117184621,0.0150922795549583,0,0.0150922795549583,0.428571428571429,0,6.94059405940594,TRUE,FALSE,TRUE
"Enh72",FALSE,0,1,1,0,0,0,0.0157692792961553,0,0.0157692792961553,0,0,0,0,0,101,FALSE,FALSE,FALSE
"Enh74",FALSE,46,2,48,6,0,6,0.756925406215452,0.725386847623141,0.0315385585923105,0.0905536773297495,0.0905536773297495,0,0.958333333333333,1,7.98835274542429,TRUE,TRUE,TRUE
"Enh75",FALSE,1,0,1,0,0,0,0.0157692792961553,0.0157692792961553,0,0,0,0,1,0,101,FALSE,FALSE,FALSE
"Enh76",FALSE,95,11,106,30,1,31,1.67154360539246,1.49808153313475,0.173462072257708,0.467860666203706,0.452768386648748,0.0150922795549583,0.89622641509434,0.967741935483871,3.41857465333763,TRUE,TRUE,TRUE
"Enh77",FALSE,0,61,61,0,2,2,0.96192603706547,0,0.96192603706547,0.0301845591099165,0,0.0301845591099165,0,0,30.3532338308458,TRUE,FALSE,TRUE
"Enh78",FALSE,0,1,1,0,0,0,0.0157692792961553,0,0.0157692792961553,0,0,0,0,0,101,FALSE,FALSE,FALSE
"Enh79",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh80",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh81",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh82",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh83",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh84",FALSE,6,5,11,8,12,20,0.173462072257708,0.0946156757769315,0.0788463964807763,0.301845591099165,0.120738236439666,0.181107354659499,0.545454545454545,0.4,0.550224887556222,TRUE,TRUE,FALSE
"Enh85",FALSE,15,3,18,17,5,22,0.283847027330794,0.236539189442329,0.0473078378884657,0.332030150209082,0.25656875243429,0.0754613977747913,0.833333333333333,0.772727272727273,0.818264425261245,TRUE,TRUE,FALSE
"Enh86",FALSE,19,1,20,19,2,21,0.315385585923105,0.29961630662695,0.0157692792961553,0.316937870654123,0.286753311544207,0.0301845591099165,0.95,0.904761904761905,0.952403617325083,TRUE,TRUE,FALSE
"Enh87",FALSE,5,12,17,1,1,2,0.268077748034639,0.0788463964807763,0.189231351553863,0.0301845591099165,0.0150922795549583,0.0150922795549583,0.294117647058824,0.5,8.46268656716418,TRUE,FALSE,TRUE
"Enh88",FALSE,5,12,17,2,1,3,0.268077748034639,0.0788463964807763,0.189231351553863,0.0452768386648748,0.0301845591099165,0.0150922795549583,0.294117647058824,0.666666666666667,5.65116279069768,TRUE,TRUE,TRUE
"Enh89",FALSE,5,1,6,0,0,0,0.0946156757769315,0.0788463964807763,0.0157692792961553,0,0,0,0.833333333333333,0,601,TRUE,FALSE,TRUE
"Enh90",FALSE,1,0,1,0,0,0,0.0157692792961553,0.0157692792961553,0,0,0,0,1,0,101,FALSE,FALSE,FALSE
"Enh91",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
