Enh.chr,Enh.Midpoint,Gene.TSS,Pair,#HiC.interaction (astrocyte_cerebellum),#HiC.interaction (astrocyte_spinal),#HiC.interaction (NeuN+),#HiC.interaction (NeuN-)
1,3012678,2586491,Enh73_PRXL2B,0,0,0,0
1,3012678,2530263,Enh73_HES5,0,0,1,0
1,3012678,2526611,Enh73_PANK4,0,0,1,0
1,3012678,2530064,Enh73_AL139246.5,0,0,1,0
1,8890395,8879190,Enh102_ENO1,0,0,11,1
1,8890395,9182004,Enh102_LNCTAM34A,0,0,1,0
1,8890395,9129102,Enh102_GPR157,1,0,1,1
1,8890395,9234775,Enh102_H6PD,0,0,2,0
1,8890395,8848921,Enh102_RERE,0,0,2,0
1,8890395,9292894,Enh102_SPSB1,0,0,0,0
1,8890395,9198906,Enh102_MIR34AHG,0,0,2,0
1,8942088,8879190,Enh103_ENO1,5,3,1,0
1,8942088,9292894,Enh103_SPSB1,1,0,0,0
1,8942088,9182004,Enh103_LNCTAM34A,0,0,1,1
1,8942088,9198906,Enh103_MIR34AHG,0,0,1,0
1,8942088,9129102,Enh103_GPR157,2,0,0,0
1,8942088,8848921,Enh103_RERE,1,0,1,2
1,8942088,9234775,Enh103_H6PD,3,0,2,0
1,8986294,9129102,Enh104_GPR157,1,0,4,0
1,8986294,9182004,Enh104_LNCTAM34A,0,0,2,2
1,8986294,9234775,Enh104_H6PD,4,3,3,1
1,8986294,9198906,Enh104_MIR34AHG,0,0,3,0
1,8986294,9292894,Enh104_SPSB1,0,0,1,0
1,8986294,8879190,Enh104_ENO1,2,1,3,4
1,8986294,8848921,Enh104_RERE,4,0,3,1
1,8988220,9182004,Enh105_LNCTAM34A,0,0,2,2
1,8988220,8848921,Enh105_RERE,4,0,3,1
1,8988220,9234775,Enh105_H6PD,4,3,3,1
1,8988220,8879190,Enh105_ENO1,2,1,3,4
1,8988220,9198906,Enh105_MIR34AHG,0,0,3,0
1,8988220,9292894,Enh105_SPSB1,0,0,1,0
1,8988220,9129102,Enh105_GPR157,1,0,4,0
1,9389007,9182004,Enh106_LNCTAM34A,0,0,2,1
1,9389007,9539465,Enh106_SLC25A33,0,0,0,2
1,9389007,9588911,Enh106_TMEM201,0,0,2,1
1,9389007,9824526,Enh106_CLSTN1,0,0,0,0
1,9389007,9198906,Enh106_MIR34AHG,0,0,1,0
1,9389007,9687555,Enh106_PIK3CD-AS2,0,0,2,0
1,9389007,9129102,Enh106_GPR157,0,0,1,1
1,9389007,9651731,Enh106_PIK3CD,0,0,1,2
1,9389007,9234775,Enh106_H6PD,0,0,0,1
1,9389007,9292894,Enh106_SPSB1,0,0,6,0
1,9836072,9997206,Enh107_RBP7,0,0,2,0
1,9836072,9824526,Enh107_CLSTN1,0,0,9,10
1,9836072,9910336,Enh107_CTNNBIP1,0,0,3,0
