chr,start,end,id,abs_summit,pileup,-LOG10(pvalue),fold_enrichment,-LOG10(qvalue),name,GENCODE32,Full.Brain,Rizz.Brain,Song.Cult,Trev.HCS,TAD,PE,cpm,high.cpm,nRep
chr1,24018763,24019212,chr1:24018763-24019212,24018937,245,153.14482,9.77845,150.33836,NHA_ATAC_S3.filtered.BAM_peak_3141,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,10.363625788508,TRUE,2
chr1,3012590,3012766,chr1:3012590-3012766,3012636,50,52.44642,17.40476,50.14336,NHA_ATAC_S3.filtered.BAM_peak_340,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2.11502567112408,TRUE,3
chr1,8890005,8890785,chr1:8890005-8890785,8890627,318,350.12131,29.58886,346.50568,NHA_ATAC_S3.filtered.BAM_peak_1059,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.4515632683492,TRUE,4
chr1,8941893,8942282,chr1:8941893-8942282,8942018,286,371.07602,43.78293,367.37424,NHA_ATAC_S3.filtered.BAM_peak_1069,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12.0979468388298,TRUE,4
chr1,8986036,8986552,chr1:8986036-8986552,8986424,249,265.61813,26.71943,262.34616,NHA_ATAC_S3.filtered.BAM_peak_1081,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,10.5328278421979,TRUE,2
chr1,8988164,8988276,chr1:8988164-8988276,8988216,82,51.48361,8.82986,49.18741,NHA_ATAC_S3.filtered.BAM_peak_1082,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3.4686421006435,TRUE,3
chr1,9388934,9389081,chr1:9388934-9389081,9389016,80,80.70725,19.0643,78.23979,NHA_ATAC_S3.filtered.BAM_peak_1158,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3.38404107379853,TRUE,2
chr1,9835821,9836322,chr1:9835821-9836322,9835955,196,228.10582,31.42743,224.987,NHA_ATAC_S3.filtered.BAM_peak_1233,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,8.29090063080641,TRUE,3
chr1,17531728,17532439,chr1:17531728-17532439,17531888,129,87.28013,10.47558,84.77773,NHA_ATAC_S3.filtered.BAM_peak_2199,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.45676623150013,TRUE,4
chr1,20493834,20494111,chr1:20493834-20494111,20493939,268,234.11121,17.62892,230.96761,NHA_ATAC_S3.filtered.BAM_peak_2537,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,11.3365375972251,TRUE,3
chr1,20494451,20494574,chr1:20494451-20494574,20494531,62,20.70574,4.13459,18.67247,NHA_ATAC_S3.filtered.BAM_peak_2538,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.62263183219386,TRUE,3
chr1,22114408,22114710,chr1:22114408-22114710,22114585,79,53.77268,9.8697,51.46236,NHA_ATAC_S3.filtered.BAM_peak_2828,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3.34174056037605,TRUE,3
chr1,22114832,22115031,chr1:22114832-22115031,22114931,130,113.29857,16.12706,110.66934,NHA_ATAC_S3.filtered.BAM_peak_2829,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5.49906674492262,TRUE,3
chr1,23544769,23545015,chr1:23544769-23545015,23544919,183,166.88081,18.44938,164.01602,NHA_ATAC_S3.filtered.BAM_peak_3054,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,7.74099395631414,TRUE,2
chr1,23554524,23555279,chr1:23554524-23555279,23555117,364,205.38623,8.56458,202.36072,NHA_ATAC_S3.filtered.BAM_peak_3055,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15.3973868857833,TRUE,4
chr1,23562311,23562640,chr1:23562311-23562640,23562495,515,417.72501,15.86329,413.83054,NHA_ATAC_S3.filtered.BAM_peak_3060,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21.7847644125781,TRUE,4
chr1,24289963,24290433,chr1:24289963-24290433,24290116,337,360.72623,27.86055,357.06744,NHA_ATAC_S3.filtered.BAM_peak_3191,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14.2552730233763,TRUE,4
chr1,24724590,24724781,chr1:24724590-24724781,24724684,153,108.17211,11.44424,105.56743,NHA_ATAC_S3.filtered.BAM_peak_3287,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,6.47197855363969,TRUE,2
chr1,24735881,24736216,chr1:24735881-24736216,24736027,88,94.81133,22.1471,92.27141,NHA_ATAC_S3.filtered.BAM_peak_3292,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3.72244518117839,TRUE,3
chr1,24848003,24848861,chr1:24848003-24848861,24848141,238,248.34045,25.28555,245.13878,NHA_ATAC_S3.filtered.BAM_peak_3319,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.0675221945506,TRUE,4
chr1,25198731,25199225,chr1:25198731-25199225,25198961,154,148.17998,20.03505,145.3949,NHA_ATAC_S3.filtered.BAM_peak_3364,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6.51427906706218,TRUE,3
chr1,25922556,25922793,chr1:25922556-25922793,25922692,56,30.48152,6.85941,28.34693,NHA_ATAC_S3.filtered.BAM_peak_3491,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.36882875165897,TRUE,3
chr1,26500089,26500492,chr1:26500089-26500492,26500389,350,368.026,26.82865,364.33694,NHA_ATAC_S3.filtered.BAM_peak_3593,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14.8051796978686,TRUE,4
chr1,26500698,26501375,chr1:26500698-26501375,26501127,171,130.96304,13.24353,128.25352,NHA_ATAC_S3.filtered.BAM_peak_3594,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.23338779524437,TRUE,4
chr1,26620135,26620672,chr1:26620135-26620672,26620588,122,64.74555,7.36483,62.36672,NHA_ATAC_S3.filtered.BAM_peak_3615,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.16066263754276,TRUE,4
chr1,26620835,26621666,chr1:26620835-26621666,26621547,319,287.95154,19.09598,284.58853,NHA_ATAC_S3.filtered.BAM_peak_3616,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.4938637817717,TRUE,4
chr1,27031564,27031940,chr1:27031564-27031940,27031808,322,342.38007,27.3085,338.79617,NHA_ATAC_S3.filtered.BAM_peak_3707,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,13.6207653220391,TRUE,3
chr1,27071110,27071405,chr1:27071110-27071405,27071224,143,122.12939,15.75609,119.45952,NHA_ATAC_S3.filtered.BAM_peak_3715,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,6.04897341941488,TRUE,2
chr1,38029186,38029319,chr1:38029186-38029319,38029252,49,21.80202,5.30938,19.75564,NHA_ATAC_S3.filtered.BAM_peak_5204,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.0727251577016,TRUE,3
chr1,41432501,41433328,chr1:41432501-41433328,41432933,455,470.07315,26.305,465.95633,NHA_ATAC_S3.filtered.BAM_peak_5669,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19.2467336072292,TRUE,4
chr1,41496234,41496532,chr1:41496234-41496532,41496403,262,181.95073,11.60859,179.02228,NHA_ATAC_S3.filtered.BAM_peak_5687,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,11.0827345166902,TRUE,3
chr1,42173443,42173621,chr1:42173443-42173621,42173531,76,65.91128,14.4106,63.52534,NHA_ATAC_S3.filtered.BAM_peak_5780,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3.21483902010861,TRUE,2
chr1,43294483,43294883,chr1:43294483-43294883,43294604,158,159.22383,22.1032,156.39159,NHA_ATAC_S3.filtered.BAM_peak_5929,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6.6834811207521,TRUE,3
chr1,47532990,47533522,chr1:47532990-47533522,47533402,63,58.86094,15.55612,56.51765,NHA_ATAC_S3.filtered.BAM_peak_6504,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.66493234561634,TRUE,4
chr1,47710570,47710770,chr1:47710570-47710770,47710647,183,235.94028,39.36315,232.78914,NHA_ATAC_S3.filtered.BAM_peak_6515,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.74099395631414,TRUE,4
chr1,48494128,48494736,chr1:48494128-48494736,48494608,167,153.23419,18.45226,150.42737,NHA_ATAC_S3.filtered.BAM_peak_6531,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.06418574155444,TRUE,4
chr1,50333004,50333296,chr1:50333004-50333296,50333200,204,245.09535,34.09759,241.90671,NHA_ATAC_S3.filtered.BAM_peak_6631,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,8.62930473818626,TRUE,2
chr1,50333646,50333839,chr1:50333646-50333839,50333713,108,102.24892,18.20887,99.67223,NHA_ATAC_S3.filtered.BAM_peak_6632,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4.56845544962802,TRUE,2
chr1,50977052,50977575,chr1:50977052-50977575,50977407,74,49.07807,9.39378,46.79848,NHA_ATAC_S3.filtered.BAM_peak_6682,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3.13023799326364,TRUE,3
chr1,50977713,50978140,chr1:50977713-50978140,50977999,136,122.10345,17.16864,119.4337,NHA_ATAC_S3.filtered.BAM_peak_6683,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.75286982545751,TRUE,4
chr1,50978234,50978438,chr1:50978234-50978438,50978340,94,70.87211,11.91175,68.45791,NHA_ATAC_S3.filtered.BAM_peak_6684,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.97624826171328,TRUE,4
chr1,52702976,52703214,chr1:52702976-52703214,52703095,405,435.49738,28.63685,431.52777,NHA_ATAC_S3.filtered.BAM_peak_6918,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,17.1317079361051,TRUE,3
chr1,52703322,52703513,chr1:52703322-52703513,52703385,80,39.79574,6.48397,37.58352,NHA_ATAC_S3.filtered.BAM_peak_6919,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3.38404107379853,TRUE,3
chr1,54488156,54488608,chr1:54488156-54488608,54488342,171,139.08173,14.7368,136.33624,NHA_ATAC_S3.filtered.BAM_peak_7230,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.23338779524437,TRUE,4
chr1,54489261,54489659,chr1:54489261-54489659,54489542,226,201.50186,18.07061,198.49234,NHA_ATAC_S3.filtered.BAM_peak_7231,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9.55991603348086,TRUE,3
chr1,54950074,54950569,chr1:54950074-54950569,54950184,52,26.79085,6.33171,24.69167,NHA_ATAC_S3.filtered.BAM_peak_7298,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.19962669796905,TRUE,3
chr1,54950770,54951018,chr1:54950770-54951018,54950885,160,151.6646,19.55883,148.86447,NHA_ATAC_S3.filtered.BAM_peak_7299,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6.76808214759707,TRUE,3
chr1,58773469,58773744,chr1:58773469-58773744,58773600,301,315.66977,26.27598,312.19464,NHA_ATAC_S3.filtered.BAM_peak_7727,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,12.732454540167,TRUE,2
chr1,65687790,65687959,chr1:65687790-65687959,65687828,78,91.01058,24.77252,88.48944,NHA_ATAC_S3.filtered.BAM_peak_8542,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.29944004695357,TRUE,4
