"Pair","Enh","Gene","Enh.Pos","Gene.Pos","Gene.TSS","Gene.Distance","Gene.Distance.Bin","Gene.Nearest","Gene.Upstream","Gene.Exp","nCells","Z","logfc","logfc.vst","P.SCEPTRE","P.NB","P.N50","P.N250","FDR.SCEPTRE","FDR.N50","FDR.N250","HitPermissive","HitCore","HitCategory"
"Enh1_CTTNBP2NL","Enh1","CTTNBP2NL","chr1:112388505-112388800","chr1:112396214-112463456","chr1:112396214",7562,"2-10kb",TRUE,TRUE,0.686674327443304,206,-0.750844681725903,-0.00390234373342624,-0.0174921300898683,0.467956555616641,0.452746135351608,0.4548992,0.499449049773756,0.939271341225087,0.933138069349532,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
"Enh1_WNT2B","Enh1","WNT2B","chr1:112388505-112388800","chr1:112466541-112530165","chr1:112466541",77889,"50-100kb",FALSE,TRUE,0.0209711387001394,206,1.72890447593802,0.00376703440681037,0.0251649770209714,0.0952269417683225,0.083826192863575,0.0833024,0.123101538461538,0.749870031198126,0.654344427530364,0.966995952882554,FALSE,FALSE,"ns (n=7601)"
"Enh1_ST7L","Enh1","ST7L","chr1:112388505-112388800","chr1:112523514-112620825","chr1:112620825",232173,"100-500kb",FALSE,TRUE,0.0839681959846058,206,0.387143587595241,0.00818185392607425,0.0413095894369342,0.679367935423293,0.698649910467358,0.7011456,0.72755257918552,0.97236323638254,0.97637373680244,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
"Enh1_CAPZA1","Enh1","CAPZA1","chr1:112388505-112388800","chr1:112619805-112671616","chr1:112619805",231153,"100-500kb",FALSE,TRUE,0.982238742086103,206,0.152479010898866,-0.00131636811531866,-0.00527375348119197,0.856209452204738,0.878809143736369,0.879424,0.890861176470588,0.994375629714454,0.993216648980182,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
"Enh1_MOV10","Enh1","MOV10","chr1:112388505-112388800","chr1:112673141-112700746","chr1:112673141",284489,"100-500kb",FALSE,TRUE,0.114444191553776,206,0.645523239409987,0.0023817810981189,0.0265139984134262,0.507415970049713,0.518588163207149,0.5220416,0.561074389140272,0.942008525633821,0.943425110325581,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
"Enh1_RHOC","Enh1","RHOC","chr1:112388505-112388800","chr1:112701106-112707434","chr1:112707434",318782,"100-500kb",FALSE,TRUE,1.33604511660038,206,-1.92783102975707,-0.0157881480270197,-0.0276973320063534,0.057825207526054,0.0538761467598012,0.053472,0.0874135746606335,0.660540810143596,0.570018040705563,0.928932516193201,FALSE,FALSE,"ns (n=7601)"
"Enh1_LINC01357","Enh1","LINC01357","chr1:112388505-112388800","chr1:112849821-112877871","chr1:112849821",461169,"100-500kb",FALSE,TRUE,0.0199225644260944,206,-0.954679081082965,-0.00329183412770183,-0.00959044155029722,0.367645218971827,0.339740011794667,0.3413632,0.390318914027149,0.91722162508116,0.908890680773143,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
"Enh2_CTTNBP2NL","Enh2","CTTNBP2NL","chr1:112390877-112391209","chr1:112396214-112463456","chr1:112396214",5171,"2-10kb",TRUE,TRUE,0.686674327443304,590,-1.06978865751389,-0.0016637459995078,-0.00751052486852455,0.301549625750913,0.284714448920594,0.2857472,0.336098461538462,0.896200078981418,0.882207246759443,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
"Enh2_WNT2B","Enh2","WNT2B","chr1:112390877-112391209","chr1:112466541-112530165","chr1:112466541",75498,"50-100kb",FALSE,TRUE,0.0209711387001394,590,-1.89779854921261,-0.00529696355597714,-0.0175754933166859,0.0627490687448003,0.0577226244145284,0.0573248,0.0923250678733032,0.674335213837819,0.583801784293194,0.938891662895928,FALSE,FALSE,"ns (n=7601)"
"Enh2_ST7L","Enh2","ST7L","chr1:112390877-112391209","chr1:112523514-112620825","chr1:112620825",229782,"100-500kb",FALSE,TRUE,0.0839681959846058,590,-1.12978432825244,-0.00635411581667268,-0.00814797025456254,0.250391417067247,0.258567113396365,0.2602816,0.309971402714932,0.883714295547475,0.870027488793841,0.999710099906036,FALSE,FALSE,"ns (n=7601)"
