Chr	Start	End	Strand	TSS	ID	EnsID	Type	Symbol
1	chr1	29554	31109	+	chr1:29554	chr1:29554-31109	ENSG00000243485	lncRNA	MIR1302-2HG
2	chr1	34554	36081	-	chr1:36081	chr1:34554-36081	ENSG00000237613	lncRNA	FAM138A
3	chr1	65419	71585	+	chr1:65419	chr1:65419-71585	ENSG00000186092	protein_coding	OR4F5
4	chr1	89295	133723	-	chr1:133723	chr1:89295-133723	ENSG00000238009	lncRNA	AL627309.1
5	chr1	89551	91105	-	chr1:91105	chr1:89551-91105	ENSG00000239945	lncRNA	AL627309.3
6	chr1	139790	140339	-	chr1:140339	chr1:139790-140339	ENSG00000239906	lncRNA	AL627309.2
7	chr1	141474	173862	-	chr1:173862	chr1:141474-173862	ENSG00000241860	lncRNA	AL627309.5
8	chr1	160446	161525	+	chr1:160446	chr1:160446-161525	ENSG00000241599	lncRNA	AL627309.4
9	chr1	266855	268655	+	chr1:266855	chr1:266855-268655	ENSG00000286448	lncRNA	AP006222.2
10	chr1	358857	366052	+	chr1:358857	chr1:358857-366052	ENSG00000236601	lncRNA	AL732372.1
11	chr1	450703	451697	-	chr1:451697	chr1:450703-451697	ENSG00000284733	protein_coding	OR4F29
12	chr1	587629	594768	+	chr1:587629	chr1:587629-594768	ENSG00000235146	lncRNA	AC114498.1
13	chr1	685679	686673	-	chr1:686673	chr1:685679-686673	ENSG00000284662	protein_coding	OR4F16
14	chr1	760911	761989	+	chr1:760911	chr1:760911-761989	ENSG00000229905	lncRNA	AL669831.2
15	chr1	778747	810065	+	chr1:778747	chr1:778747-810065	ENSG00000237491	lncRNA	LINC01409
16	chr1	817371	819837	+	chr1:817371	chr1:817371-819837	ENSG00000177757	lncRNA	FAM87B
17	chr1	825138	868202	+	chr1:825138	chr1:825138-868202	ENSG00000228794	lncRNA	LINC01128
18	chr1	826206	827522	-	chr1:827522	chr1:826206-827522	ENSG00000225880	lncRNA	LINC00115
19	chr1	868071	876903	-	chr1:876903	chr1:868071-876903	ENSG00000230368	lncRNA	FAM41C
20	chr1	904834	915976	+	chr1:904834	chr1:904834-915976	ENSG00000272438	lncRNA	AL645608.6
21	chr1	911435	914948	+	chr1:911435	chr1:911435-914948	ENSG00000230699	lncRNA	AL645608.2
22	chr1	914171	914971	+	chr1:914171	chr1:914171-914971	ENSG00000241180	lncRNA	AL645608.4
23	chr1	916865	921016	-	chr1:921016	chr1:916865-921016	ENSG00000223764	lncRNA	LINC02593
24	chr1	923928	944581	+	chr1:923928	chr1:923928-944581	ENSG00000187634	protein_coding	SAMD11
25	chr1	944203	959309	-	chr1:959309	chr1:944203-959309	ENSG00000188976	protein_coding	NOC2L
26	chr1	960584	965719	+	chr1:960584	chr1:960584-965719	ENSG00000187961	protein_coding	KLHL17
27	chr1	966482	975865	+	chr1:966482	chr1:966482-975865	ENSG00000187583	protein_coding	PLEKHN1
28	chr1	975204	982093	-	chr1:982093	chr1:975204-982093	ENSG00000187642	protein_coding	PERM1
29	chr1	995966	998051	-	chr1:998051	chr1:995966-998051	ENSG00000272512	lncRNA	AL645608.7
30	chr1	998962	1000172	-	chr1:1000172	chr1:998962-1000172	ENSG00000188290	protein_coding	HES4
31	chr1	1001138	1014540	+	chr1:1001138	chr1:1001138-1014540	ENSG00000187608	protein_coding	ISG15
